operateur;annee;filiere;code_categorie_consommation;libelle_categorie_consommation;code_grand_secteur;libelle_grand_secteur;code_naf;libelle_secteur_naf2;conso;pdl;indqual;nombre_mailles_secretisees;code_region;libelle_region
SICAE du Carmausin;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;22331.612;4818;0.0126;0;76;Occitanie
SICAE ELY;2020;Electricité;ENT;Entreprises;X;Secteur Inconnu;;0;21432.544;98;0.959;0;24;Centre-Val de Loire
SICAE Est;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;84746.0;16956;0.5;0;27;Bourgogne-Franche-Comté
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;13;Fabrication de textiles;422.0;2;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;17;Industrie du papier et du carton;1319.0;7;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;20;Industrie chimique;62552.0;14;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;28;Fabrication de machines et équipements n.c.a.;3211.0;4;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;31;Fabrication de meubles;431.0;3;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;32;Autres industries manufacturières;1438.0;3;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;I;Industrie;43;Travaux de construction spécialisés;1775.0;29;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;33;Réparation et installation de machines et d'équipements;1154.0;18;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;38;"Collecte, traitement et élimination des déchets ; récupération";3473.0;10;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;49;Transports terrestres et transport par conduites;5216.0;20;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;75;Activités vétérinaires;50.0;1;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;77;Activités de location et location-bail;462.0;4;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;82;Activités administratives et autres activités de soutien aux entreprises;2330.0;9;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;87;Hébergement médico-social et social;4735.0;20;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;93;Activités sportives, récréatives et de loisirs;733.0;7;1.0;0;32;Hauts-de-France
SICAE Oise;2020;Electricité;ENT;Entreprises;T;Tertiaire;96;Autres services personnels;737.0;4;1.0;0;32;Hauts-de-France
